set,fold,accuracy
Train,1,0.7493319760783814
Test,1,0.48109965635738833
Train,2,0.7488526262111168
Test,2,0.4369369369369369
Train,3,0.7504803381580633
Test,3,0.4540540540540541
Train,4,0.7375355205373288
Test,4,0.5444444444444444
Train,5,0.7419189327860441
Test,5,0.5801282051282052
Train,6,0.7525603742571754
Test,6,0.37667071688942894
Train,7,0.7395490245756271
Test,7,0.5023866348448688
Train,8,0.7419883926318446
Test,8,0.5632754342431762
Train,9,0.7410308236483072
Test,9,0.5894607843137255
Train,10,0.7413552881570614
Test,10,0.4432497013142174
