set,fold,accuracy
Train,1,0.9998736735725113
Test,1,0.6703431372549019
Train,2,0.9997473471450228
Test,2,0.6507352941176471
Train,3,0.9998736735725113
Test,3,0.6642156862745098
Train,4,0.9997473471450228
Test,4,0.6715686274509803
Train,5,0.9996210207175341
Test,5,0.6691176470588235
Train,6,0.9998736735725113
Test,6,0.6642156862745098
Train,7,0.9996210207175341
Test,7,0.6642156862745098
Train,8,0.9994946942900454
Test,8,0.6727941176470589
Train,9,0.9997473471450228
Test,9,0.6740196078431373
Train,10,0.9997473471450228
Test,10,0.6678921568627451
