Set,Fold,Score
Train,1,0.8583789285789512
Test,1,0.5864833908119289
Train,2,0.9255481896991331
Test,2,0.5292792787423005
Train,3,0.988856154732932
Test,3,0.5189189186289503
Train,4,0.9882459312839059
Test,4,0.6010101006488607
Train,5,0.9763981528683403
Test,5,0.6185897435897436
Train,6,0.9893791882665318
Test,6,0.4969623328558874
Train,7,0.9899923992906005
Test,7,0.6408114559895098
Train,8,0.9451173354272074
Test,8,0.6215880893300249
Train,9,0.9839565437089439
Test,9,0.6948529411764706
Train,10,0.9887270424621176
Test,10,0.5854241338824429
