Set,Fold,Score
Train,1,0.9599185647028884
Test,1,0.4936998854524628
Train,2,0.9614992350841407
Test,2,0.46396396396396394
Train,3,0.9609324964775202
Test,3,0.47675675675675677
Train,4,0.9671919400671661
Test,4,0.5292929292929293
Train,5,0.9602360184710108
Test,5,0.5747863247863247
Train,6,0.9625742824630168
Test,6,0.4082624544349939
Train,7,0.9655434507220674
Test,7,0.5071599045346062
Train,8,0.9600050466818068
Test,8,0.5260545905707196
Train,9,0.9604598281960586
Test,9,0.5931372549019608
Train,10,0.9613679544015199
Test,10,0.5794504181600956
