Set,Fold,Score
Train,1,0.9826949993637868
Test,1,0.5578465063001146
Train,2,0.9859765425803162
Test,2,0.47297297297297297
Train,3,0.9869348021006789
Test,3,0.5037837837837837
Train,4,0.9854042882975975
Test,4,0.5050505050505051
Train,5,0.982683427398666
Test,5,0.44871794871794873
Train,6,0.9848274118093311
Test,6,0.48724179829890646
Train,7,0.9828984038510261
Test,7,0.513126491646778
Train,8,0.9832197829926823
Test,8,0.5533498759305211
Train,9,0.9790298130368873
Test,9,0.4840686274509804
Train,10,0.9853071564281191
Test,10,0.5113500597371565
