Set,Fold,Score
Train,1,0.9454129024579759
Test,1,0.4650630011625443
Train,2,0.8230494645588985
Test,2,0.5990990990990991
Train,3,0.833610861947629
Test,3,0.5286486478753992
Train,4,0.9102299147661082
Test,4,0.5636363633955368
Train,5,0.995382247306311
Test,5,0.5865384615384616
Train,6,0.9447464913389809
Test,6,0.4945321991261126
Train,7,0.9271598682090666
Test,7,0.5453460619102515
Train,8,0.9647993944733846
Test,8,0.5769230770709792
Train,9,0.9744820616472966
Test,9,0.6323529411764706
Train,10,0.9861937935402153
Test,10,0.5519713263072991
