Set,Fold,Score
Train,1,0.90469525390218
Test,1,0.5658648341791737
Train,2,0.8545385007649159
Test,2,0.588963963963964
Train,3,0.8842064813628795
Test,3,0.5189189188544815
Train,4,0.7191940066242243
Test,4,0.5444444445046511
Train,5,0.889430477106614
Test,5,0.6068376068376068
Train,6,0.9049184473384752
Test,6,0.503037667252748
Train,7,0.8661008360327301
Test,7,0.6181384246787479
Train,8,0.8550340651773968
Test,8,0.5868486353836344
Train,9,0.8941384537645275
Test,9,0.6495098039215687
Train,10,0.8975300823607877
Test,10,0.6583034648975021
