set,fold,accuracy
Train,1,0.9442677185392544
Test,1,0.563573883161512
Train,2,0.9422488526262112
Test,2,0.5056306306306306
Train,3,0.946202126296913
Test,3,0.5027027027027027
Train,4,0.9430379746835443
Test,4,0.5787878787878787
Train,5,0.9415084658799384
Test,5,0.6581196581196581
Train,6,0.942217726640536
Test,6,0.4993924665856622
Train,7,0.9429946795034203
Test,7,0.581145584725537
Train,8,0.9441079989906637
Test,8,0.5992555831265509
Train,9,0.9432794340576048
Test,9,0.6764705882352942
Train,10,0.9386953768207726
Test,10,0.5746714456391876
